i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 18:45:08.515249;2019-10-08 18:45:08.515249
2;0.0;2019-10-08 18:45:08.525008;2019-10-08 18:45:08.525008
3;0.0;2019-10-08 18:45:08.534531;2019-10-08 18:45:08.534531
4;0.0;2019-10-08 18:45:08.539521;2019-10-08 18:45:08.539521
5;0.0;2019-10-08 18:45:08.547194;2019-10-08 18:45:08.547194
6;0.0;2019-10-08 18:45:08.559187;2019-10-08 18:45:08.559187
7;1.0018348693847656;2019-10-08 18:45:08.568478;2019-10-08 18:45:08.569480
8;0.0;2019-10-08 18:45:08.579718;2019-10-08 18:45:08.579718
9;0.0;2019-10-08 18:45:08.591697;2019-10-08 18:45:08.591697
10;0.0;2019-10-08 18:45:08.599705;2019-10-08 18:45:08.599705
