i exec;duracao (ms);hora início;hora fim
1;708.1196308135986;2019-10-08 18:45:08.781110;2019-10-08 18:45:09.489230
2;727.7660369873047;2019-10-08 18:45:09.500382;2019-10-08 18:45:10.228148
3;705.1026821136475;2019-10-08 18:45:10.240799;2019-10-08 18:45:10.945902
4;705.1181793212891;2019-10-08 18:45:10.956892;2019-10-08 18:45:11.662011
5;735.0900173187256;2019-10-08 18:45:11.673977;2019-10-08 18:45:12.409067
6;725.1219749450684;2019-10-08 18:45:12.411896;2019-10-08 18:45:13.137018
7;720.6311225891113;2019-10-08 18:45:13.148163;2019-10-08 18:45:13.868794
8;708.1596851348877;2019-10-08 18:45:13.873724;2019-10-08 18:45:14.581884
9;713.1552696228027;2019-10-08 18:45:14.586247;2019-10-08 18:45:15.299402
10;704.1215896606445;2019-10-08 18:45:15.311103;2019-10-08 18:45:16.015224
