i exec;duracao (ms);hora início;hora fim
1;77023.07510375977;2019-10-08 18:45:16.386445;2019-10-08 18:46:33.409520
2;78683.79521369934;2019-10-08 18:46:33.426479;2019-10-08 18:47:52.110274
3;79372.84755706787;2019-10-08 18:47:52.134800;2019-10-08 18:49:11.507648
4;79891.52240753174;2019-10-08 18:49:11.523551;2019-10-08 18:50:31.415073
5;79436.6762638092;2019-10-08 18:50:31.430976;2019-10-08 18:51:50.867652
6;80707.40365982056;2019-10-08 18:51:50.883587;2019-10-08 18:53:11.590991
7;80085.9444141388;2019-10-08 18:53:11.608822;2019-10-08 18:54:31.694767
8;80024.05095100403;2019-10-08 18:54:31.713660;2019-10-08 18:55:51.737711
9;80403.80477905273;2019-10-08 18:55:51.757696;2019-10-08 18:57:12.161501
10;80575.67715644836;2019-10-08 18:57:12.186021;2019-10-08 18:58:32.761698
