i exec;duracao (ms);hora início;hora fim
1;0.9968280792236328;2019-10-08 18:59:13.349642;2019-10-08 18:59:13.350638
2;1.039266586303711;2019-10-08 18:59:13.358935;2019-10-08 18:59:13.359974
3;1.0364055633544922;2019-10-08 18:59:13.370914;2019-10-08 18:59:13.371950
4;0.9505748748779297;2019-10-08 18:59:13.384133;2019-10-08 18:59:13.385083
5;1.0409355163574219;2019-10-08 18:59:13.398054;2019-10-08 18:59:13.399095
6;1.996755599975586;2019-10-08 18:59:13.411012;2019-10-08 18:59:13.413008
7;0.0;2019-10-08 18:59:13.423992;2019-10-08 18:59:13.423992
8;1.003265380859375;2019-10-08 18:59:13.434993;2019-10-08 18:59:13.435996
9;0.0;2019-10-08 18:59:13.439985;2019-10-08 18:59:13.439985
10;0.0;2019-10-08 18:59:13.449958;2019-10-08 18:59:13.449958
