i exec;duracao (ms);hora início;hora fim
1;911748.3596801758;2019-10-08 20:04:23.764503;2019-10-08 20:19:35.512862
2;907338.8140201569;2019-10-08 20:19:35.577947;2019-10-08 20:34:42.917759
3;910831.2530517578;2019-10-08 20:34:42.972614;2019-10-08 20:49:53.803867
4;911511.0712051392;2019-10-08 20:49:53.859654;2019-10-08 21:05:05.370726
5;910506.6387653351;2019-10-08 21:05:05.425594;2019-10-08 21:20:15.932233
6;909733.5271835327;2019-10-08 21:20:15.989134;2019-10-08 21:35:25.722661
7;913107.4130535126;2019-10-08 21:35:25.779450;2019-10-08 21:50:38.886863
8;908676.7938137054;2019-10-08 21:50:38.946645;2019-10-08 22:05:47.623439
9;910955.8751583099;2019-10-08 22:05:47.687237;2019-10-08 22:20:58.644108
10;912423.8328933716;2019-10-08 22:20:58.702926;2019-10-08 22:36:11.126759
