i exec;duracao (ms);hora início;hora fim
1;6884.599447250366;2019-10-08 20:03:15.087216;2019-10-08 20:03:21.971816
2;6580.462455749512;2019-10-08 20:03:21.978736;2019-10-08 20:03:28.559198
3;6803.809404373169;2019-10-08 20:03:28.566124;2019-10-08 20:03:35.369933
4;6915.511608123779;2019-10-08 20:03:35.384227;2019-10-08 20:03:42.299739
5;6878.612041473389;2019-10-08 20:03:42.306193;2019-10-08 20:03:49.184805
6;6613.275527954102;2019-10-08 20:03:49.190832;2019-10-08 20:03:55.804108
7;6739.981889724731;2019-10-08 20:03:55.810178;2019-10-08 20:04:02.550160
8;6690.166473388672;2019-10-08 20:04:02.563728;2019-10-08 20:04:09.253895
9;6758.9826583862305;2019-10-08 20:04:09.260819;2019-10-08 20:04:16.019802
10;6638.972043991089;2019-10-08 20:04:16.034207;2019-10-08 20:04:22.673179
