n;maximo;minimo;media
10.0;0.0;0.0;0.0
25.0;1.0018348693847656;0.0;0.10018348693847656
50.0;1.996755599975586;0.0;0.8064031600952148
75.0;1.0614395141601562;0.0;0.9228229522705078
100.0;1.9948482513427732;0.9832382202148438;1.2101411819458008
250.0;8.030891418457031;5.9828758239746085;7.108712196350098
500.0;29.98042106628418;26.60560607910156;28.701066970825195
750.0;66.86544418334961;59.9057674407959;63.86871337890625
1000.0;125.73719024658205;108.73174667358398;113.04972171783447
2500.0;735.0900173187256;704.1215896606445;715.238618850708
5000.0;3158.5588455200195;2930.169105529785;3097.438144683838
7500.0;6915.511608123779;6580.462455749512;6750.437355041504
10000.0;11495.844841003418;11125.259637832642;11263.763999938965
25000.0;80707.40365982057;77023.07510375978;79620.47975063324
50000.0;376703.11522483826;370596.556186676;372781.187081337
75000.0;913107.4130535127;907338.8140201569;910683.3578824997
