n;maximo;minimo;media
10.0;0.0;0.0;0.0
25.0;0.0;0.0;0.0
50.0;0.0;0.0;0.0
75.0;15.62190055847168;0.0;1.562190055847168
100.0;0.0;0.0;0.0
250.0;15.62190055847168;0.0;1.562190055847168
500.0;15.59758186340332;0.0;3.1171321868896484
750.0;15.621662139892578;0.0;4.686307907104492
1000.0;15.662193298339846;0.0;3.3257007598876953
2500.0;31.201601028442386;3.021240234375;17.335867881774902
5000.0;33.48541259765625;15.619516372680664;29.338812828063965
7500.0;62.53457069396973;46.86307907104492;56.243014335632324
10000.0;124.9675750732422;46.86713218688965;67.1623945236206
25000.0;220.686674118042;140.58208465576172;178.7299394607544
50000.0;410.3691577911377;343.66726875305176;386.84685230255127
75000.0;859.2233657836914;624.852180480957;750.841760635376
100000.0;843.550443649292;710.5967998504639;754.0915489196777
250000.0;2921.229600906372;2015.141010284424;2386.3605976104736
500000.0;9262.575149536131;5483.082056045532;6658.558702468872
750000.0;12835.468292236328;8310.535430908203;10138.760018348694
1000000.0;16355.692386627195;10231.969594955444;11687.736654281616
2500000.0;37991.06621742249;29899.2178440094;33157.763504981995
5000000.0;75513.49091529846;59657.84478187562;63211.7317199707
7500000.0;102427.35695838928;92134.60111618043;94778.95278930664
