i exec;duracao (ms);hora início;hora fim
1;2280.7350158691406;2019-10-07 22:45:14.122546;2019-10-07 22:45:16.403281
2;2201.1969089508057;2019-10-07 22:45:17.652994;2019-10-07 22:45:19.854191
3;2921.229600906372;2019-10-07 22:45:21.135102;2019-10-07 22:45:24.056332
4;2311.983108520508;2019-10-07 22:45:25.446588;2019-10-07 22:45:27.758572
5;2255.3493976593018;2019-10-07 22:45:29.023913;2019-10-07 22:45:31.279263
6;2578.0274868011475;2019-10-07 22:45:32.560212;2019-10-07 22:45:35.138240
7;2382.6072216033936;2019-10-07 22:45:36.466109;2019-10-07 22:45:38.848716
8;2296.323299407959;2019-10-07 22:45:40.129670;2019-10-07 22:45:42.425993
9;2621.0129261016846;2019-10-07 22:45:43.706904;2019-10-07 22:45:46.327917
10;2015.1410102844238;2019-10-07 22:45:47.702594;2019-10-07 22:45:49.717735
