i exec;duracao (ms);hora início;hora fim
1;92134.60111618042;2019-10-07 23:35:53.747798;2019-10-07 23:37:25.882399
2;93931.08749389648;2019-10-07 23:38:02.701900;2019-10-07 23:39:36.632988
3;93743.57986450195;2019-10-07 23:40:13.109736;2019-10-07 23:41:46.853316
4;93773.15187454224;2019-10-07 23:42:23.407401;2019-10-07 23:43:57.180552
5;92853.16205024719;2019-10-07 23:44:33.656362;2019-10-07 23:46:06.509524
6;93399.90544319153;2019-10-07 23:46:43.407104;2019-10-07 23:48:16.807010
7;94446.54035568237;2019-10-07 23:48:53.392200;2019-10-07 23:50:27.838741
8;102427.35695838928;2019-10-07 23:51:04.658169;2019-10-07 23:52:47.085526
9;94149.81412887573;2019-10-07 23:53:23.514468;2019-10-07 23:54:57.664282
10;96930.3286075592;2019-10-07 23:55:34.140126;2019-10-07 23:57:11.070454
