i exec;duracao (ms);hora início;hora fim
1;650.6414413452148;2019-10-07 23:30:11.477007;2019-10-07 23:30:12.127649
2;765.3989791870117;2019-10-07 23:30:12.580713;2019-10-07 23:30:13.346112
3;781.0273170471191;2019-10-07 23:30:13.767925;2019-10-07 23:30:14.548952
4;781.0680866241455;2019-10-07 23:30:15.017592;2019-10-07 23:30:15.798660
5;765.444278717041;2019-10-07 23:30:16.251677;2019-10-07 23:30:17.017121
6;781.0685634613037;2019-10-07 23:30:17.485761;2019-10-07 23:30:18.266829
7;843.5983657836914;2019-10-07 23:30:18.797953;2019-10-07 23:30:19.641552
8;656.095027923584;2019-10-07 23:30:20.063281;2019-10-07 23:30:20.719376
9;859.2233657836914;2019-10-07 23:30:21.141153;2019-10-07 23:30:22.000376
10;624.852180480957;2019-10-07 23:30:22.422102;2019-10-07 23:30:23.046954
