i exec;duracao (ms);hora início;hora fim
1;140.58208465576172;2019-10-07 22:45:08.289256;2019-10-07 22:45:08.429838
2;190.57035446166992;2019-10-07 22:45:08.570397;2019-10-07 22:45:08.760967
3;193.30549240112305;2019-10-07 22:45:08.901524;2019-10-07 22:45:09.094829
4;160.54415702819824;2019-10-07 22:45:09.219815;2019-10-07 22:45:09.380360
5;172.75357246398926;2019-10-07 22:45:09.489707;2019-10-07 22:45:09.662461
6;191.50328636169434;2019-10-07 22:45:09.803093;2019-10-07 22:45:09.994596
7;175.9035587310791;2019-10-07 22:45:10.119535;2019-10-07 22:45:10.295438
8;159.8672866821289;2019-10-07 22:45:10.420455;2019-10-07 22:45:10.580323
9;220.686674118042;2019-10-07 22:45:10.705340;2019-10-07 22:45:10.926027
10;181.58292770385742;2019-10-07 22:45:11.050999;2019-10-07 22:45:11.232582
