i exec;duracao (ms);hora início;hora fim
1;2.0155906677246094;2019-10-07 22:41:50.730438;2019-10-07 22:41:50.732453
2;0.0;2019-10-07 22:41:50.732453;2019-10-07 22:41:50.732453
3;15.5792236328125;2019-10-07 22:41:50.748122;2019-10-07 22:41:50.763701
4;15.662193298339844;2019-10-07 22:41:50.763701;2019-10-07 22:41:50.779363
5;0.0;2019-10-07 22:41:50.779363;2019-10-07 22:41:50.779363
6;0.0;2019-10-07 22:41:50.794963;2019-10-07 22:41:50.794963
7;0.0;2019-10-07 22:41:50.810577;2019-10-07 22:41:50.810577
8;0.0;2019-10-07 22:41:50.826225;2019-10-07 22:41:50.826225
9;0.0;2019-10-07 22:41:50.841849;2019-10-07 22:41:50.841849
10;0.0;2019-10-07 22:41:50.857471;2019-10-07 22:41:50.857471
