i exec;duracao (ms);hora início;hora fim
1;14031.153440475464;2019-10-09 21:05:16.996702;2019-10-09 21:05:31.027856
2;13748.490810394287;2019-10-09 21:05:31.029976;2019-10-09 21:05:44.778467
3;13761.1563205719;2019-10-09 21:05:44.786542;2019-10-09 21:05:58.547698
4;13785.575866699219;2019-10-09 21:05:58.557962;2019-10-09 21:06:12.343538
5;15788.21611404419;2019-10-09 21:06:12.356220;2019-10-09 21:06:28.144436
6;13925.754070281982;2019-10-09 21:06:28.154599;2019-10-09 21:06:42.080353
7;14006.853342056274;2019-10-09 21:06:42.090493;2019-10-09 21:06:56.097347
8;13895.231485366821;2019-10-09 21:06:56.105490;2019-10-09 21:07:10.000722
9;13674.254655838013;2019-10-09 21:07:10.019062;2019-10-09 21:07:23.693316
10;13915.024995803833;2019-10-09 21:07:23.703936;2019-10-09 21:07:37.618961
