i exec;duracao (ms);hora início;hora fim
1;391015.79117774963;2019-10-09 21:23:52.200572;2019-10-09 21:30:23.216364
2;395688.86613845825;2019-10-09 21:30:23.247002;2019-10-09 21:36:58.935868
3;457751.47557258606;2019-10-09 21:36:58.964373;2019-10-09 21:44:36.715849
4;404805.3674697876;2019-10-09 21:44:36.754438;2019-10-09 21:51:21.559806
5;406133.3498954773;2019-10-09 21:51:21.609174;2019-10-09 21:58:07.742524
6;461121.2201118469;2019-10-09 21:58:07.794979;2019-10-09 22:05:48.916200
7;399796.89598083496;2019-10-09 22:05:48.964773;2019-10-09 22:12:28.761669
8;419214.4823074341;2019-10-09 22:12:28.810910;2019-10-09 22:19:28.025392
9;398167.96493530273;2019-10-09 22:19:28.074867;2019-10-09 22:26:06.242832
10;399863.9044761658;2019-10-09 22:26:06.283609;2019-10-09 22:32:46.147513
