i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-09 21:07:37.702701;2019-10-09 21:07:37.702701
2;0.0;2019-10-09 21:07:37.702701;2019-10-09 21:07:37.702701
3;0.0;2019-10-09 21:07:37.717928;2019-10-09 21:07:37.717928
4;0.0;2019-10-09 21:07:37.717928;2019-10-09 21:07:37.717928
5;0.0;2019-10-09 21:07:37.717928;2019-10-09 21:07:37.717928
6;0.0;2019-10-09 21:07:37.717928;2019-10-09 21:07:37.717928
7;0.0;2019-10-09 21:07:37.717928;2019-10-09 21:07:37.717928
8;0.0;2019-10-09 21:07:37.717928;2019-10-09 21:07:37.717928
9;0.0;2019-10-09 21:07:37.733571;2019-10-09 21:07:37.733571
10;0.0;2019-10-09 21:07:37.740232;2019-10-09 21:07:37.740232
