i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
2;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
3;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
4;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
5;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
6;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
7;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
8;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
9;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
10;0.0;2019-10-09 21:05:15.491407;2019-10-09 21:05:15.491407
