n;maximo;minimo;media
10.0;0.0;0.0;0.0
25.0;0.0;0.0;0.0
50.0;0.0;0.0;0.0
75.0;15.567541122436525;0.0;1.5567541122436526
100.0;15.565633773803713;0.0;1.5565633773803713
250.0;31.24260902404785;0.0;18.427610397338867
500.0;46.86403274536133;26.712417602539066;35.98299026489258
750.0;84.7036838531494;69.091796875;79.60467338562012
1000.0;142.61531829833984;126.25408172607422;133.5158109664917
2500.0;1556.504726409912;862.0543479919434;951.193356513977
5000.0;6486.168384552002;3467.8561687469482;4108.185839653015
7500.0;9747.717618942259;7671.379566192627;7966.456651687622
10000.0;15788.21611404419;13674.254655838013;14053.171110153198
25000.0;113181.77652359007;87470.40748596191;92174.4542837143
50000.0;461121.22011184687;391015.79117774963;413355.93180656433
