i exec;duracao (ms);hora início;hora fim
1;41.20659828186035;2019-10-09 21:23:09.977871;2019-10-09 21:23:10.019078
2;34.21449661254883;2019-10-09 21:23:10.019078;2019-10-09 21:23:10.053292
3;26.712417602539062;2019-10-09 21:23:10.065584;2019-10-09 21:23:10.092297
4;45.325517654418945;2019-10-09 21:23:10.092297;2019-10-09 21:23:10.137622
5;31.247854232788086;2019-10-09 21:23:10.137622;2019-10-09 21:23:10.168870
6;31.235456466674805;2019-10-09 21:23:10.184498;2019-10-09 21:23:10.215734
7;37.634849548339844;2019-10-09 21:23:10.215734;2019-10-09 21:23:10.253369
8;46.86403274536133;2019-10-09 21:23:10.253369;2019-10-09 21:23:10.300233
9;37.644147872924805;2019-10-09 21:23:10.300233;2019-10-09 21:23:10.337877
10;27.744531631469727;2019-10-09 21:23:10.348606;2019-10-09 21:23:10.376350
