i exec;duracao (ms);hora início;hora fim
1;7773.898124694824;2019-10-09 22:32:47.435452;2019-10-09 22:32:55.209351
2;7743.762493133545;2019-10-09 22:32:55.228998;2019-10-09 22:33:02.972760
3;7686.538457870483;2019-10-09 22:33:02.990955;2019-10-09 22:33:10.677494
4;7684.323787689209;2019-10-09 22:33:10.698537;2019-10-09 22:33:18.382861
5;7689.816474914551;2019-10-09 22:33:18.397254;2019-10-09 22:33:26.087071
6;7955.9783935546875;2019-10-09 22:33:26.105121;2019-10-09 22:33:34.061099
7;7846.743106842041;2019-10-09 22:33:34.081720;2019-10-09 22:33:41.928463
8;7864.408493041992;2019-10-09 22:33:41.950170;2019-10-09 22:33:49.814578
9;7671.379566192627;2019-10-09 22:33:49.835173;2019-10-09 22:33:57.506552
10;9747.71761894226;2019-10-09 22:33:57.527246;2019-10-09 22:34:07.274963
