i exec;duracao (ms);hora início;hora fim
1;15.260934829711914;2019-10-09 21:07:37.756275;2019-10-09 21:07:37.771536
2;15.576601028442383;2019-10-09 21:07:37.771536;2019-10-09 21:07:37.787113
3;15.621662139892578;2019-10-09 21:07:37.787113;2019-10-09 21:07:37.802734
4;21.96335792541504;2019-10-09 21:07:37.802734;2019-10-09 21:07:37.824697
5;0.0;2019-10-09 21:07:37.824697;2019-10-09 21:07:37.824697
6;31.24070167541504;2019-10-09 21:07:37.824697;2019-10-09 21:07:37.855938
7;15.621185302734375;2019-10-09 21:07:37.855938;2019-10-09 21:07:37.871559
8;31.24260902404785;2019-10-09 21:07:37.871559;2019-10-09 21:07:37.902802
9;15.622138977050781;2019-10-09 21:07:37.902802;2019-10-09 21:07:37.918424
10;22.12691307067871;2019-10-09 21:07:37.918424;2019-10-09 21:07:37.940551
