i exec;duracao (ms);hora início;hora fim
1;100476.38869285583;2019-10-08 00:34:09.380551;2019-10-08 00:35:49.856940
2;102600.91280937195;2019-10-08 00:36:26.551395;2019-10-08 00:38:09.152308
3;102194.71406936646;2019-10-08 00:38:46.517213;2019-10-08 00:40:28.711927
4;107285.83002090454;2019-10-08 00:41:05.939533;2019-10-08 00:42:53.225363
5;101460.51573753357;2019-10-08 00:43:30.044832;2019-10-08 00:45:11.505347
6;101882.42840766907;2019-10-08 00:45:48.371679;2019-10-08 00:47:30.254107
7;102507.18474388123;2019-10-08 00:48:07.276652;2019-10-08 00:49:49.783837
8;102366.5988445282;2019-10-08 00:50:26.618886;2019-10-08 00:52:08.985485
9;102397.92251586914;2019-10-08 00:52:45.553824;2019-10-08 00:54:27.951747
10;102866.43123626709;2019-10-08 00:55:04.412020;2019-10-08 00:56:47.278451
