i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 00:01:36.742061;2019-10-08 00:01:36.742061
2;0.0;2019-10-08 00:01:37.101372;2019-10-08 00:01:37.101372
3;0.0;2019-10-08 00:01:37.101372;2019-10-08 00:01:37.101372
4;0.0;2019-10-08 00:01:37.101372;2019-10-08 00:01:37.101372
5;0.0;2019-10-08 00:01:37.101372;2019-10-08 00:01:37.101372
6;0.0;2019-10-08 00:01:37.101372;2019-10-08 00:01:37.101372
7;0.0;2019-10-08 00:01:37.116941;2019-10-08 00:01:37.116941
8;0.0;2019-10-08 00:01:37.116941;2019-10-08 00:01:37.116941
9;0.0;2019-10-08 00:01:37.116941;2019-10-08 00:01:37.116941
10;0.0;2019-10-08 00:01:37.116941;2019-10-08 00:01:37.116941
