i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 00:11:22.160909;2019-10-08 00:11:22.160909
2;0.0;2019-10-08 00:11:22.379607;2019-10-08 00:11:22.379607
3;0.0;2019-10-08 00:11:22.379607;2019-10-08 00:11:22.379607
4;0.0;2019-10-08 00:11:22.379607;2019-10-08 00:11:22.379607
5;0.0;2019-10-08 00:11:22.379607;2019-10-08 00:11:22.379607
6;0.0;2019-10-08 00:11:22.395229;2019-10-08 00:11:22.395229
7;0.0;2019-10-08 00:11:22.395229;2019-10-08 00:11:22.395229
8;0.0;2019-10-08 00:11:22.395229;2019-10-08 00:11:22.395229
9;0.0;2019-10-08 00:11:22.395229;2019-10-08 00:11:22.395229
10;0.0;2019-10-08 00:11:22.395229;2019-10-08 00:11:22.395229
