i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-07 23:57:57.668830;2019-10-07 23:57:57.668830
2;0.0;2019-10-07 23:57:57.668830;2019-10-07 23:57:57.668830
3;0.0;2019-10-07 23:57:57.684452;2019-10-07 23:57:57.684452
4;0.0;2019-10-07 23:57:57.684452;2019-10-07 23:57:57.684452
5;0.0;2019-10-07 23:57:57.684452;2019-10-07 23:57:57.684452
6;0.0;2019-10-07 23:57:57.684452;2019-10-07 23:57:57.684452
7;0.0;2019-10-07 23:57:57.684452;2019-10-07 23:57:57.684452
8;0.0;2019-10-07 23:57:57.700074;2019-10-07 23:57:57.700074
9;0.0;2019-10-07 23:57:57.700074;2019-10-07 23:57:57.700074
10;0.0;2019-10-07 23:57:57.700074;2019-10-07 23:57:57.700074
