n;maximo;minimo;media
10.0;0.0;0.0;0.0
25.0;0.0;0.0;0.0
50.0;0.0;0.0;0.0
75.0;0.0;0.0;0.0
100.0;15.62213897705078;0.0;1.562213897705078
250.0;0.0;0.0;0.0
500.0;0.0;0.0;0.0
750.0;0.0;0.0;0.0
1000.0;15.665292739868164;0.0;3.1285524368286133
2500.0;15.630722045898438;0.0;14.059996604919434
5000.0;62.485694885253906;15.620946884155273;43.74380111694336
7500.0;93.72711181640624;31.232357025146484;64.04404640197754
10000.0;124.97186660766602;46.807289123535156;71.84884548187256
25000.0;296.80323600769043;156.21256828308103;198.37265014648438
50000.0;484.2593669891357;421.77391052246094;448.3309268951416
75000.0;1280.9484004974365;718.5802459716797;876.3685464859009
100000.0;1812.0710849761965;1030.96342086792;1414.2245531082153
250000.0;4889.519691467285;2572.277069091797;3279.3814182281494
500000.0;9279.06847000122;5524.718523025513;7025.42564868927
750000.0;12169.012546539308;8935.396432876587;9539.943194389343
1000000.0;13184.444427490234;12122.140169143677;12537.14804649353
2500000.0;42115.14401435852;31492.643356323242;35745.782685279846
5000000.0;75996.0150718689;63781.882524490364;67412.11924552917
7500000.0;107285.83002090453;100476.38869285583;102603.8927078247
