i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 00:11:22.442142;2019-10-08 00:11:22.442142
2;0.0;2019-10-08 00:11:22.457717;2019-10-08 00:11:22.457717
3;0.0;2019-10-08 00:11:22.457717;2019-10-08 00:11:22.457717
4;0.0;2019-10-08 00:11:22.488957;2019-10-08 00:11:22.488957
5;0.0;2019-10-08 00:11:22.504578;2019-10-08 00:11:22.504578
6;0.0;2019-10-08 00:11:22.504578;2019-10-08 00:11:22.504578
7;0.0;2019-10-08 00:11:22.520239;2019-10-08 00:11:22.520239
8;0.0;2019-10-08 00:11:22.535821;2019-10-08 00:11:22.535821
9;0.0;2019-10-08 00:11:22.535821;2019-10-08 00:11:22.535821
10;0.0;2019-10-08 00:11:22.551487;2019-10-08 00:11:22.551487
