n;heapsort;insertionsort;introsort;mergesort;quicksort;selectionsort;timsort
10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25.0;0.0;0.10018348693847656;0.0;0.0;0.0;0.0;0.0
50.0;1.5620470046997068;0.8064031600952148;0.0;0.0;0.0;0.0;0.0
75.0;0.0;0.9228229522705078;1.5621900558471682;1.5623092651367188;0.0;1.5567541122436526;0.0
100.0;0.0;1.2101411819458008;0.0;0.0;1.5622138977050781;1.556563377380371;0.0
250.0;1.5614748001098633;7.108712196350098;1.5621900558471682;3.1242847442626958;0.0;18.427610397338867;3.1203746795654297
500.0;7.810783386230469;28.701066970825195;3.1171321868896484;3.1243801116943364;0.0;35.98299026489258;1.557207107543945
750.0;9.382343292236328;63.86871337890625;4.686307907104492;9.374642372131348;0.0;79.60467338562013;1.5607357025146484
1000.0;7.819294929504394;113.04972171783449;3.3257007598876958;6.241893768310548;3.1285524368286133;133.5158109664917;3.0925512313842773
2500.0;32.791876792907715;715.238618850708;17.335867881774902;26.54969692230225;14.059996604919435;951.193356513977;20.302510261535645
5000.0;74.99489784240724;3097.438144683838;29.338812828063965;60.93339920043945;43.74380111694336;4108.185839653015;48.415398597717285
7500.0;115.6019926071167;6750.437355041504;56.243014335632324;73.41487407684326;64.04404640197754;7966.456651687622;67.15986728668213
10000.0;143.70772838592532;11263.763999938965;67.1623945236206;106.18622303009032;71.84884548187256;14053.171110153198;103.07996273040771
25000.0;368.6490774154663;79620.47975063324;178.7299394607544;273.3736991882324;198.3726501464844;92174.4542837143;309.3023300170898
50000.0;938.295555114746;372781.18708133703;386.84685230255127;615.4653549194336;448.3309268951416;413355.9318065643;552.9885292053224
75000.0;1514.712905883789;910683.3578824996;750.841760635376;1063.808822631836;876.3685464859009;0.0;1257.5212001800535
100000.0;2013.0613565444946;0.0;754.0915489196777;1987.5300407409668;1414.2245531082153;0.0;1751.6141653060913
250000.0;6686.400675773621;0.0;2386.3605976104736;4424.452877044678;3279.381418228149;0.0;3445.467948913574
500000.0;12786.564326286316;0.0;6658.558702468872;8151.701641082764;7025.42564868927;0.0;7980.755996704102
750000.0;17956.210589408878;0.0;10138.760018348694;12443.942046165466;9539.943194389345;0.0;11441.067147254944
1000000.0;23507.82587528229;0.0;11687.736654281616;15681.223130226135;12537.14804649353;0.0;15102.704215049744
2500000.0;59638.88022899628;0.0;33157.763504981995;39776.49915218353;35745.782685279846;0.0;38786.674356460564
5000000.0;125345.53692340852;0.0;63211.7317199707;78316.85130596161;67412.11924552917;0.0;79972.73819446564
7500000.0;194773.1933832169;0.0;94778.95278930664;121352.34599113464;102603.8927078247;0.0;116318.13573837279
