i exec;duracao (ms);hora início;hora fim
1;94477.77938842773;2019-10-08 01:15:10.206945;2019-10-08 01:16:44.684724
2;86958.6570262909;2019-10-08 01:17:12.193875;2019-10-08 01:18:39.152532
3;77575.55055618286;2019-10-08 01:19:03.600799;2019-10-08 01:20:21.176350
4;78059.81111526489;2019-10-08 01:20:46.015263;2019-10-08 01:22:04.075074
5;76949.4264125824;2019-10-08 01:22:28.272556;2019-10-08 01:23:45.221982
6;77013.10276985168;2019-10-08 01:24:09.638112;2019-10-08 01:25:26.651215
7;77434.87477302551;2019-10-08 01:25:51.099626;2019-10-08 01:27:08.534501
8;76700.77109336853;2019-10-08 01:27:33.045403;2019-10-08 01:28:49.746174
9;77231.83584213257;2019-10-08 01:29:14.396675;2019-10-08 01:30:31.628511
10;77325.5729675293;2019-10-08 01:30:55.842034;2019-10-08 01:32:13.167607
