i exec;duracao (ms);hora início;hora fim
1;31.201601028442383;2019-10-07 22:45:07.596018;2019-10-07 22:45:07.627220
2;15.62190055847168;2019-10-07 22:45:07.642841;2019-10-07 22:45:07.658463
3;3.021240234375;2019-10-07 22:45:07.686211;2019-10-07 22:45:07.689232
4;15.631437301635742;2019-10-07 22:45:07.704857;2019-10-07 22:45:07.720488
5;15.661954879760742;2019-10-07 22:45:07.755355;2019-10-07 22:45:07.771017
6;29.702186584472656;2019-10-07 22:45:07.788407;2019-10-07 22:45:07.818109
7;15.633821487426758;2019-10-07 22:45:07.839344;2019-10-07 22:45:07.854977
8;15.622854232788086;2019-10-07 22:45:07.886226;2019-10-07 22:45:07.901849
9;15.63262939453125;2019-10-07 22:45:07.933075;2019-10-07 22:45:07.948708
10;15.629053115844727;2019-10-07 22:45:07.970029;2019-10-07 22:45:07.985658
