i exec;duracao (ms);hora início;hora fim
1;2811.7966651916504;2019-10-08 00:01:45.297197;2019-10-08 00:01:48.108994
2;3452.258825302124;2019-10-08 00:01:49.874258;2019-10-08 00:01:53.326517
3;2624.3278980255127;2019-10-08 00:01:55.107403;2019-10-08 00:01:57.731731
4;3546.0007190704346;2019-10-08 00:01:59.293902;2019-10-08 00:02:02.839903
5;2577.4662494659424;2019-10-08 00:02:04.245876;2019-10-08 00:02:06.823343
6;3092.9770469665527;2019-10-08 00:02:08.166824;2019-10-08 00:02:11.259801
7;2572.277069091797;2019-10-08 00:02:12.821933;2019-10-08 00:02:15.394210
8;2946.94447517395;2019-10-08 00:02:16.956381;2019-10-08 00:02:19.903326
9;4280.245542526245;2019-10-08 00:02:21.965339;2019-10-08 00:02:26.245585
10;4889.519691467285;2019-10-08 00:02:28.057658;2019-10-08 00:02:32.947178
