i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 00:29:53.688400;2019-10-08 00:29:53.688400
2;0.0;2019-10-08 00:29:53.704023;2019-10-08 00:29:53.704023
3;0.0;2019-10-08 00:29:53.719643;2019-10-08 00:29:53.719643
4;0.0;2019-10-08 00:29:53.735264;2019-10-08 00:29:53.735264
5;0.0;2019-10-08 00:29:53.750887;2019-10-08 00:29:53.750887
6;0.0;2019-10-08 00:29:53.766545;2019-10-08 00:29:53.766545
7;0.0;2019-10-08 00:29:53.782128;2019-10-08 00:29:53.782128
8;0.0;2019-10-08 00:29:53.797749;2019-10-08 00:29:53.797749
9;0.0;2019-10-08 00:29:53.813371;2019-10-08 00:29:53.813371
10;0.0;2019-10-08 00:29:53.828992;2019-10-08 00:29:53.828992
