i exec;duracao (ms);hora início;hora fim
1;191533.100605011;2019-10-08 04:03:37.713368;2019-10-08 04:06:49.246468
2;194204.33616638184;2019-10-08 04:07:25.566464;2019-10-08 04:10:39.770800
3;194187.42394447327;2019-10-08 04:11:16.825148;2019-10-08 04:14:31.012572
4;193454.67448234558;2019-10-08 04:15:07.738823;2019-10-08 04:18:21.193498
5;198401.06511116028;2019-10-08 04:18:58.325796;2019-10-08 04:22:16.726861
6;198640.8395767212;2019-10-08 04:22:53.982406;2019-10-08 04:26:12.623246
7;195610.35203933716;2019-10-08 04:26:50.286217;2019-10-08 04:30:05.896569
8;193609.12108421326;2019-10-08 04:30:43.277754;2019-10-08 04:33:56.886875
9;194574.02420043945;2019-10-08 04:34:33.409868;2019-10-08 04:37:47.983892
10;193516.99662208557;2019-10-08 04:38:25.006435;2019-10-08 04:41:38.523432
