i exec;duracao (ms);hora início;hora fim
1;843.5697555541992;2019-10-08 03:29:07.379663;2019-10-08 03:29:08.223233
2;921.6394424438477;2019-10-08 03:29:08.801220;2019-10-08 03:29:09.722859
3;827.9035091400146;2019-10-08 03:29:09.988454;2019-10-08 03:29:10.816357
4;796.7255115509033;2019-10-08 03:29:11.097507;2019-10-08 03:29:11.894232
5;827.9132843017578;2019-10-08 03:29:12.175427;2019-10-08 03:29:13.003341
6;812.2949600219727;2019-10-08 03:29:13.268919;2019-10-08 03:29:14.081213
7;1156.019687652588;2019-10-08 03:29:14.414414;2019-10-08 03:29:15.570433
8;1259.8075866699219;2019-10-08 03:29:15.914107;2019-10-08 03:29:17.173915
9;1124.734878540039;2019-10-08 03:29:17.533209;2019-10-08 03:29:18.657944
10;812.3469352722168;2019-10-08 03:29:18.954747;2019-10-08 03:29:19.767094
