i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-07 23:57:57.731317;2019-10-07 23:57:57.731317
2;0.0;2019-10-07 23:57:57.731317;2019-10-07 23:57:57.731317
3;0.0;2019-10-07 23:57:57.731317;2019-10-07 23:57:57.731317
4;0.0;2019-10-07 23:57:57.731317;2019-10-07 23:57:57.731317
5;15.622138977050781;2019-10-07 23:57:57.731317;2019-10-07 23:57:57.746939
6;0.0;2019-10-07 23:57:57.746939;2019-10-07 23:57:57.746939
7;0.0;2019-10-07 23:57:57.746939;2019-10-07 23:57:57.746939
8;0.0;2019-10-07 23:57:57.746939;2019-10-07 23:57:57.746939
9;0.0;2019-10-07 23:57:57.762560;2019-10-07 23:57:57.762560
10;0.0;2019-10-07 23:57:57.762560;2019-10-07 23:57:57.762560
