i exec;duracao (ms);hora início;hora fim
1;874.8364448547363;2019-10-08 01:32:46.012496;2019-10-08 01:32:46.887332
2;859.1773509979248;2019-10-08 01:32:47.340354;2019-10-08 01:32:48.199532
3;1031.010627746582;2019-10-08 01:32:48.756387;2019-10-08 01:32:49.787397
4;1437.1604919433594;2019-10-08 01:32:50.349762;2019-10-08 01:32:51.786923
5;1546.4701652526855;2019-10-08 01:32:52.411818;2019-10-08 01:32:53.958288
6;1577.7475833892822;2019-10-08 01:32:54.473835;2019-10-08 01:32:56.051583
7;1202.8858661651611;2019-10-08 01:32:56.567053;2019-10-08 01:32:57.769939
8;1624.6182918548584;2019-10-08 01:32:58.347882;2019-10-08 01:32:59.972500
9;1343.4336185455322;2019-10-08 01:33:00.534867;2019-10-08 01:33:01.878301
10;1077.871561050415;2019-10-08 01:33:02.503155;2019-10-08 01:33:03.581027
