i exec;duracao (ms);hora início;hora fim
1;437.3960494995117;2019-10-08 00:11:24.113575;2019-10-08 00:11:24.550971
2;421.77391052246094;2019-10-08 00:11:24.832157;2019-10-08 00:11:25.253930
3;453.0189037322998;2019-10-08 00:11:25.535115;2019-10-08 00:11:25.988134
4;437.3974800109863;2019-10-08 00:11:26.566122;2019-10-08 00:11:27.003519
5;437.3950958251953;2019-10-08 00:11:27.284707;2019-10-08 00:11:27.722102
6;453.016996383667;2019-10-08 00:11:28.003288;2019-10-08 00:11:28.456305
7;484.25936698913574;2019-10-08 00:11:28.747690;2019-10-08 00:11:29.231949
8;437.3958110809326;2019-10-08 00:11:29.497513;2019-10-08 00:11:29.934909
9;468.63842010498047;2019-10-08 00:11:30.200473;2019-10-08 00:11:30.669111
10;453.0172348022461;2019-10-08 00:11:30.950296;2019-10-08 00:11:31.403314
