i exec;duracao (ms);hora início;hora fim
1;14574.695348739624;2019-10-08 00:58:19.849798;2019-10-08 00:58:34.424494
2;14715.331077575684;2019-10-08 00:58:39.110893;2019-10-08 00:58:53.826224
3;15241.143226623535;2019-10-08 00:58:58.762557;2019-10-08 00:59:14.003700
4;14835.063934326172;2019-10-08 00:59:18.705689;2019-10-08 00:59:33.540753
5;14746.569395065308;2019-10-08 00:59:38.726986;2019-10-08 00:59:53.473555
6;15308.860301971436;2019-10-08 00:59:58.347411;2019-10-08 01:00:13.656271
7;17152.173042297363;2019-10-08 01:00:19.920468;2019-10-08 01:00:37.072641
8;15121.493577957153;2019-10-08 01:00:42.087087;2019-10-08 01:00:57.208581
9;14684.050559997559;2019-10-08 01:01:02.597926;2019-10-08 01:01:17.281976
10;14647.661685943604;2019-10-08 01:01:21.937099;2019-10-08 01:01:36.584760
