i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 00:57:34.548548;2019-10-08 00:57:34.548548
2;0.0;2019-10-08 00:57:34.564211;2019-10-08 00:57:34.564211
3;0.0;2019-10-08 00:57:34.564211;2019-10-08 00:57:34.564211
4;0.0;2019-10-08 00:57:34.564211;2019-10-08 00:57:34.564211
5;0.0;2019-10-08 00:57:34.564211;2019-10-08 00:57:34.564211
6;0.0;2019-10-08 00:57:34.579792;2019-10-08 00:57:34.579792
7;0.0;2019-10-08 00:57:34.579792;2019-10-08 00:57:34.579792
8;0.0;2019-10-08 00:57:34.579792;2019-10-08 00:57:34.579792
9;0.0;2019-10-08 00:57:34.595412;2019-10-08 00:57:34.595412
10;0.0;2019-10-08 00:57:34.595412;2019-10-08 00:57:34.595412
