i exec;duracao (ms);hora início;hora fim
1;14434.15641784668;2019-10-08 02:38:32.002751;2019-10-08 02:38:46.436907
2;11070.274829864502;2019-10-08 02:38:50.748344;2019-10-08 02:39:01.818619
3;11309.839963912964;2019-10-08 02:39:05.927025;2019-10-08 02:39:17.236866
4;11341.086626052856;2019-10-08 02:39:21.251548;2019-10-08 02:39:32.592635
5;11809.726238250732;2019-10-08 02:39:36.732282;2019-10-08 02:39:48.542008
6;11351.47213935852;2019-10-08 02:39:52.525444;2019-10-08 02:40:03.876917
7;11091.144561767578;2019-10-08 02:40:07.907171;2019-10-08 02:40:18.998315
8;11169.247150421143;2019-10-08 02:40:23.091102;2019-10-08 02:40:34.260349
9;16256.535530090332;2019-10-08 02:40:39.352943;2019-10-08 02:40:55.609478
10;14605.937004089355;2019-10-08 02:40:59.874150;2019-10-08 02:41:14.480086
