i exec;duracao (ms);hora início;hora fim
1;1577.8038501739502;2019-10-08 02:03:01.950287;2019-10-08 02:03:03.528091
2;1921.4227199554443;2019-10-08 02:03:04.121652;2019-10-08 02:03:06.043075
3;2140.1212215423584;2019-10-08 02:03:06.714792;2019-10-08 02:03:08.854914
4;1890.181303024292;2019-10-08 02:03:09.870300;2019-10-08 02:03:11.760482
5;2291.0380363464355;2019-10-08 02:03:12.432202;2019-10-08 02:03:14.723240
6;2087.8167152404785;2019-10-08 02:03:15.426157;2019-10-08 02:03:17.513974
7;1827.6939392089844;2019-10-08 02:03:18.216930;2019-10-08 02:03:20.044624
8;2108.877420425415;2019-10-08 02:03:20.841314;2019-10-08 02:03:22.950191
9;1921.4630126953125;2019-10-08 02:03:23.778122;2019-10-08 02:03:25.699585
10;2108.882188796997;2019-10-08 02:03:26.933629;2019-10-08 02:03:29.042511
