i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 03:09:29.888039;2019-10-08 03:09:29.888039
2;0.0;2019-10-08 03:09:29.903626;2019-10-08 03:09:29.903626
3;0.0;2019-10-08 03:09:29.919288;2019-10-08 03:09:29.919288
4;0.0;2019-10-08 03:09:29.919288;2019-10-08 03:09:29.919288
5;0.0;2019-10-08 03:09:29.934867;2019-10-08 03:09:29.934867
6;0.0;2019-10-08 03:09:29.934867;2019-10-08 03:09:29.934867
7;0.0;2019-10-08 03:09:29.934867;2019-10-08 03:09:29.934867
8;0.0;2019-10-08 03:09:29.934867;2019-10-08 03:09:29.934867
9;0.0;2019-10-08 03:09:29.934867;2019-10-08 03:09:29.934867
10;0.0;2019-10-08 03:09:29.950490;2019-10-08 03:09:29.950490
