i exec;duracao (ms);hora início;hora fim
1;45895.46203613281;2019-10-08 02:08:54.477031;2019-10-08 02:09:40.372493
2;38522.23467826843;2019-10-08 02:09:52.588368;2019-10-08 02:10:31.110602
3;38537.853717803955;2019-10-08 02:10:42.826554;2019-10-08 02:11:21.364407
4;38928.34663391113;2019-10-08 02:11:33.424030;2019-10-08 02:12:12.352376
5;37755.59115409851;2019-10-08 02:12:24.568253;2019-10-08 02:13:02.323844
6;38428.50923538208;2019-10-08 02:13:14.227246;2019-10-08 02:13:52.655755
7;38741.013288497925;2019-10-08 02:14:04.747113;2019-10-08 02:14:43.488126
8;38569.061279296875;2019-10-08 02:14:55.813333;2019-10-08 02:15:34.382394
9;38241.0101890564;2019-10-08 02:15:46.457671;2019-10-08 02:16:24.698681
10;44145.90930938721;2019-10-08 02:16:36.898896;2019-10-08 02:17:21.044806
