i exec;duracao (ms);hora início;hora fim
1;109.34996604919434;2019-10-08 03:09:30.590963;2019-10-08 03:09:30.700313
2;140.63715934753418;2019-10-08 03:09:30.747178;2019-10-08 03:09:30.887815
3;171.78821563720703;2019-10-08 03:09:30.950300;2019-10-08 03:09:31.122088
4;124.93491172790527;2019-10-08 03:09:31.403307;2019-10-08 03:09:31.528242
5;125.00834465026855;2019-10-08 03:09:31.590729;2019-10-08 03:09:31.715737
6;124.96781349182129;2019-10-08 03:09:31.778187;2019-10-08 03:09:31.903155
7;109.30919647216797;2019-10-08 03:09:32.449939;2019-10-08 03:09:32.559249
8;156.21256828308105;2019-10-08 03:09:32.606113;2019-10-08 03:09:32.762326
9;156.219482421875;2019-10-08 03:09:32.809231;2019-10-08 03:09:32.965450
10;218.64962577819824;2019-10-08 03:09:33.496578;2019-10-08 03:09:33.715228
