i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 00:29:53.594672;2019-10-08 00:29:53.594672
2;0.0;2019-10-08 00:29:53.625914;2019-10-08 00:29:53.625914
3;0.0;2019-10-08 00:29:53.625914;2019-10-08 00:29:53.625914
4;0.0;2019-10-08 00:29:53.625914;2019-10-08 00:29:53.625914
5;0.0;2019-10-08 00:29:53.625914;2019-10-08 00:29:53.625914
6;0.0;2019-10-08 00:29:53.641536;2019-10-08 00:29:53.641536
7;0.0;2019-10-08 00:29:53.641536;2019-10-08 00:29:53.641536
8;0.0;2019-10-08 00:29:53.641536;2019-10-08 00:29:53.641536
9;0.0;2019-10-08 00:29:53.641536;2019-10-08 00:29:53.641536
10;0.0;2019-10-08 00:29:53.657157;2019-10-08 00:29:53.657157
