i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 03:29:05.052084;2019-10-08 03:29:05.052084
2;0.0;2019-10-08 03:29:05.067712;2019-10-08 03:29:05.067712
3;0.0;2019-10-08 03:29:05.083289;2019-10-08 03:29:05.083289
4;15.622377395629883;2019-10-08 03:29:05.083289;2019-10-08 03:29:05.098911
5;15.666007995605469;2019-10-08 03:29:05.098911;2019-10-08 03:29:05.114577
6;15.618324279785156;2019-10-08 03:29:05.114577;2019-10-08 03:29:05.130196
7;15.579938888549805;2019-10-08 03:29:05.130196;2019-10-08 03:29:05.145776
8;0.0;2019-10-08 03:29:05.161396;2019-10-08 03:29:05.161396
9;0.0;2019-10-08 03:29:05.177017;2019-10-08 03:29:05.177017
10;15.621185302734375;2019-10-08 03:29:05.192639;2019-10-08 03:29:05.208260
