i exec;duracao (ms);hora início;hora fim
1;46.87786102294922;2019-10-07 22:41:50.982443;2019-10-07 22:41:51.029321
2;46.86737060546875;2019-10-07 22:41:51.076184;2019-10-07 22:41:51.123052
3;46.86713218688965;2019-10-07 22:41:51.169853;2019-10-07 22:41:51.216720
4;52.625179290771484;2019-10-07 22:41:51.263582;2019-10-07 22:41:51.316207
5;51.18513107299805;2019-10-07 22:41:51.363073;2019-10-07 22:41:51.414258
6;69.87929344177246;2019-10-07 22:41:51.461119;2019-10-07 22:41:51.530998
7;78.11307907104492;2019-10-07 22:41:51.577823;2019-10-07 22:41:51.655936
8;124.96757507324219;2019-10-07 22:41:51.734038;2019-10-07 22:41:51.859006
9;60.506343841552734;2019-10-07 22:41:51.937112;2019-10-07 22:41:51.997619
10;93.7349796295166;2019-10-07 22:41:52.075724;2019-10-07 22:41:52.169459
