i exec;duracao (ms);hora início;hora fim
1;1468.4076309204102;2019-10-08 00:57:38.901640;2019-10-08 00:57:40.370048
2;1603.4955978393555;2019-10-08 00:57:40.948043;2019-10-08 00:57:42.551539
3;1733.9656352996826;2019-10-08 00:57:43.285704;2019-10-08 00:57:45.019669
4;1843.2750701904297;2019-10-08 00:57:45.785157;2019-10-08 00:57:47.628432
5;1603.553295135498;2019-10-08 00:57:48.253291;2019-10-08 00:57:49.856844
6;1858.8910102844238;2019-10-08 00:57:50.497367;2019-10-08 00:57:52.356258
7;1624.6178150177002;2019-10-08 00:57:53.027973;2019-10-08 00:57:54.652591
8;2280.719518661499;2019-10-08 00:57:55.621114;2019-10-08 00:57:57.901833
9;1874.5570182800293;2019-10-08 00:57:58.682896;2019-10-08 00:58:00.557453
10;1624.6590614318848;2019-10-08 00:58:01.229173;2019-10-08 00:58:02.853832
