i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-07 22:56:53.471206;2019-10-07 22:56:53.471206
2;0.0;2019-10-07 22:56:53.471206;2019-10-07 22:56:53.471206
3;0.0;2019-10-07 22:56:53.471206;2019-10-07 22:56:53.471206
4;0.0;2019-10-07 22:56:53.486826;2019-10-07 22:56:53.486826
5;0.0;2019-10-07 22:56:53.486826;2019-10-07 22:56:53.486826
6;0.0;2019-10-07 22:56:53.486826;2019-10-07 22:56:53.486826
7;0.0;2019-10-07 22:56:53.486826;2019-10-07 22:56:53.486826
8;0.0;2019-10-07 22:56:53.502447;2019-10-07 22:56:53.502447
9;0.0;2019-10-07 22:56:53.502447;2019-10-07 22:56:53.502447
10;0.0;2019-10-07 22:56:53.502447;2019-10-07 22:56:53.502447
