i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 02:02:57.232650;2019-10-08 02:02:57.232650
2;0.0;2019-10-08 02:02:57.232650;2019-10-08 02:02:57.232650
3;0.0;2019-10-08 02:02:57.232650;2019-10-08 02:02:57.232650
4;0.0;2019-10-08 02:02:57.248269;2019-10-08 02:02:57.248269
5;0.0;2019-10-08 02:02:57.248269;2019-10-08 02:02:57.248269
6;0.0;2019-10-08 02:02:57.263890;2019-10-08 02:02:57.263890
7;0.0;2019-10-08 02:02:57.263890;2019-10-08 02:02:57.263890
8;0.0;2019-10-08 02:02:57.263890;2019-10-08 02:02:57.263890
9;0.0;2019-10-08 02:02:57.263890;2019-10-08 02:02:57.263890
10;0.0;2019-10-08 02:02:57.279510;2019-10-08 02:02:57.279510
