i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-07 22:45:07.424143;2019-10-07 22:45:07.424143
2;0.0;2019-10-07 22:45:07.424143;2019-10-07 22:45:07.424143
3;0.0;2019-10-07 22:45:07.424143;2019-10-07 22:45:07.424143
4;0.0;2019-10-07 22:45:07.439773;2019-10-07 22:45:07.439773
5;0.0;2019-10-07 22:45:07.439773;2019-10-07 22:45:07.439773
6;0.0;2019-10-07 22:45:07.439773;2019-10-07 22:45:07.439773
7;0.0;2019-10-07 22:45:07.439773;2019-10-07 22:45:07.439773
8;0.0;2019-10-07 22:45:07.439773;2019-10-07 22:45:07.439773
9;0.0;2019-10-07 22:45:07.455386;2019-10-07 22:45:07.455386
10;0.0;2019-10-07 22:45:07.455386;2019-10-07 22:45:07.455386
