i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 02:07:10.293434;2019-10-08 02:07:10.293434
2;0.0;2019-10-08 02:07:10.293434;2019-10-08 02:07:10.293434
3;0.0;2019-10-08 02:07:10.309056;2019-10-08 02:07:10.309056
4;0.0;2019-10-08 02:07:10.309056;2019-10-08 02:07:10.309056
5;0.0;2019-10-08 02:07:10.324677;2019-10-08 02:07:10.324677
6;0.0;2019-10-08 02:07:10.355919;2019-10-08 02:07:10.355919
7;15.62190055847168;2019-10-08 02:07:10.355919;2019-10-08 02:07:10.371541
8;0.0;2019-10-08 02:07:10.371541;2019-10-08 02:07:10.371541
9;0.0;2019-10-08 02:07:10.387163;2019-10-08 02:07:10.387163
10;15.620946884155273;2019-10-08 02:07:10.387163;2019-10-08 02:07:10.402784
