i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 03:58:05.436197;2019-10-08 03:58:05.436197
2;15.660524368286133;2019-10-08 03:58:05.451777;2019-10-08 03:58:05.467438
3;15.621423721313477;2019-10-08 03:58:05.467438;2019-10-08 03:58:05.483059
4;0.0;2019-10-08 03:58:05.498642;2019-10-08 03:58:05.498642
5;0.0;2019-10-08 03:58:05.514307;2019-10-08 03:58:05.514307
6;15.618085861206055;2019-10-08 03:58:05.529923;2019-10-08 03:58:05.545541
7;15.648126602172852;2019-10-08 03:58:05.545541;2019-10-08 03:58:05.561190
8;0.0;2019-10-08 03:58:05.576798;2019-10-08 03:58:05.576798
9;15.619277954101562;2019-10-08 03:58:05.592369;2019-10-08 03:58:05.607988
10;15.655994415283203;2019-10-08 03:58:05.607988;2019-10-08 03:58:05.623644
