i exec;duracao (ms);hora início;hora fim
1;13653.040647506714;2019-10-08 02:03:44.773185;2019-10-08 02:03:58.426226
2;15715.054750442505;2019-10-08 02:04:03.190731;2019-10-08 02:04:18.905786
3;16199.318408966064;2019-10-08 02:04:23.623427;2019-10-08 02:04:39.822745
4;16027.498006820679;2019-10-08 02:04:44.602905;2019-10-08 02:05:00.630403
5;15699.43380355835;2019-10-08 02:05:05.394854;2019-10-08 02:05:21.094288
6;16121.24490737915;2019-10-08 02:05:25.921276;2019-10-08 02:05:42.042521
7;15699.433088302612;2019-10-08 02:05:46.744505;2019-10-08 02:06:02.443938
8;16178.561687469482;2019-10-08 02:06:07.130725;2019-10-08 02:06:23.309287
9;16240.987300872803;2019-10-08 02:06:27.995679;2019-10-08 02:06:44.236666
10;15277.658700942993;2019-10-08 02:06:48.891783;2019-10-08 02:07:04.169442
