i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 02:07:09.715445;2019-10-08 02:07:09.715445
2;0.0;2019-10-08 02:07:09.715445;2019-10-08 02:07:09.715445
3;0.0;2019-10-08 02:07:10.230948;2019-10-08 02:07:10.230948
4;0.0;2019-10-08 02:07:10.230948;2019-10-08 02:07:10.230948
5;0.0;2019-10-08 02:07:10.230948;2019-10-08 02:07:10.230948
6;0.0;2019-10-08 02:07:10.230948;2019-10-08 02:07:10.230948
7;0.0;2019-10-08 02:07:10.246570;2019-10-08 02:07:10.246570
8;0.0;2019-10-08 02:07:10.246570;2019-10-08 02:07:10.246570
9;0.0;2019-10-08 02:07:10.246570;2019-10-08 02:07:10.246570
10;0.0;2019-10-08 02:07:10.246570;2019-10-08 02:07:10.246570
