i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 02:02:57.295133;2019-10-08 02:02:57.295133
2;0.0;2019-10-08 02:02:57.310793;2019-10-08 02:02:57.310793
3;0.0;2019-10-08 02:02:57.310793;2019-10-08 02:02:57.310793
4;0.0;2019-10-08 02:02:57.310793;2019-10-08 02:02:57.310793
5;0.0;2019-10-08 02:02:57.326411;2019-10-08 02:02:57.326411
6;0.0;2019-10-08 02:02:57.326411;2019-10-08 02:02:57.326411
7;0.0;2019-10-08 02:02:57.326411;2019-10-08 02:02:57.326411
8;0.0;2019-10-08 02:02:57.341997;2019-10-08 02:02:57.341997
9;0.0;2019-10-08 02:02:57.341997;2019-10-08 02:02:57.341997
10;0.0;2019-10-08 02:02:57.341997;2019-10-08 02:02:57.341997
