i exec;duracao (ms);hora início;hora fim
1;15.575170516967773;2019-10-08 02:07:10.559044;2019-10-08 02:07:10.574619
2;31.237363815307617;2019-10-08 02:07:10.621533;2019-10-08 02:07:10.652771
3;15.65694808959961;2019-10-08 02:07:10.683969;2019-10-08 02:07:10.699625
4;31.246423721313477;2019-10-08 02:07:10.730878;2019-10-08 02:07:10.762124
5;31.238555908203125;2019-10-08 02:07:10.777746;2019-10-08 02:07:10.808984
6;46.814680099487305;2019-10-08 02:07:10.824608;2019-10-08 02:07:10.871423
7;31.24213218688965;2019-10-08 02:07:10.887044;2019-10-08 02:07:10.918287
8;31.24237060546875;2019-10-08 02:07:10.933909;2019-10-08 02:07:10.965151
9;15.622138977050781;2019-10-08 02:07:10.980772;2019-10-08 02:07:10.996394
10;15.621185302734375;2019-10-08 02:07:11.027637;2019-10-08 02:07:11.043258
