i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 02:17:34.932123;2019-10-08 02:17:34.932123
2;0.0;2019-10-08 02:17:35.010228;2019-10-08 02:17:35.010228
3;0.0;2019-10-08 02:17:35.010228;2019-10-08 02:17:35.010228
4;0.0;2019-10-08 02:17:35.010228;2019-10-08 02:17:35.010228
5;0.0;2019-10-08 02:17:35.010228;2019-10-08 02:17:35.010228
6;0.0;2019-10-08 02:17:35.025850;2019-10-08 02:17:35.025850
7;0.0;2019-10-08 02:17:35.057092;2019-10-08 02:17:35.057092
8;0.0;2019-10-08 02:17:35.072715;2019-10-08 02:17:35.072715
9;0.0;2019-10-08 02:17:35.119578;2019-10-08 02:17:35.119578
10;0.0;2019-10-08 02:17:35.119578;2019-10-08 02:17:35.119578
