i exec;duracao (ms);hora início;hora fim
1;1312.1910095214844;2019-10-08 02:38:04.243652;2019-10-08 02:38:05.555843
2;1249.7012615203857;2019-10-08 02:38:06.040114;2019-10-08 02:38:07.289815
3;874.7940063476562;2019-10-08 02:38:07.727208;2019-10-08 02:38:08.602002
4;1312.1576309204102;2019-10-08 02:38:09.023817;2019-10-08 02:38:10.335975
5;921.6585159301758;2019-10-08 02:38:10.757748;2019-10-08 02:38:11.679406
6;1155.9820175170898;2019-10-08 02:38:12.132420;2019-10-08 02:38:13.288402
7;952.8999328613281;2019-10-08 02:38:13.850767;2019-10-08 02:38:14.803667
8;968.5215950012207;2019-10-08 02:38:15.303553;2019-10-08 02:38:16.272075
9;937.3159408569336;2019-10-08 02:38:16.678232;2019-10-08 02:38:17.615548
10;952.8663158416748;2019-10-08 02:38:18.131049;2019-10-08 02:38:19.083915
