n;maximo;minimo;media
10.0;0.0;0.0;0.0
25.0;0.0;0.0;0.0
50.0;0.0;0.0;0.0
75.0;15.623092651367188;0.0;1.5623092651367188
100.0;0.0;0.0;0.0
250.0;15.62190055847168;0.0;3.1242847442626953
500.0;15.62190055847168;0.0;3.124380111694336
750.0;15.659332275390625;0.0;9.374642372131348
1000.0;15.631437301635742;0.0;6.241893768310547
2500.0;46.8146800994873;15.575170516967773;26.549696922302246
5000.0;93.72806549072266;31.243562698364254;60.93339920043945
7500.0;78.10688018798828;62.483787536621094;73.41487407684326
10000.0;156.21089935302734;78.04441452026367;106.18622303009033
25000.0;296.80490493774414;249.94134902954102;273.3736991882324
50000.0;874.7940063476562;499.84526634216314;615.4653549194336
75000.0;1312.1910095214846;874.7940063476562;1063.808822631836
100000.0;2291.0380363464355;1577.8038501739502;1987.5300407409668
250000.0;5561.192274093628;3327.344417572021;4424.452877044678
500000.0;10044.509172439577;7430.5150508880615;8151.701641082764
750000.0;16256.535530090332;11070.274829864502;12443.942046165466
1000000.0;16240.987300872805;13653.040647506714;15681.223130226135
2500000.0;45895.46203613281;37755.59115409851;39776.49915218353
5000000.0;86745.19681930543;74888.61680030823;78316.85130596161
7500000.0;130594.340801239;118394.0362930298;121352.34599113464
