i exec;duracao (ms);hora início;hora fim
1;15.607357025146484;2019-10-08 01:32:43.643397;2019-10-08 01:32:43.659004
2;0.0;2019-10-08 01:32:43.674588;2019-10-08 01:32:43.674588
3;0.0;2019-10-08 01:32:43.690209;2019-10-08 01:32:43.690209
4;0.0;2019-10-08 01:32:43.705830;2019-10-08 01:32:43.705830
5;0.0;2019-10-08 01:32:43.721451;2019-10-08 01:32:43.721451
6;0.0;2019-10-08 01:32:43.737073;2019-10-08 01:32:43.737073
7;0.0;2019-10-08 01:32:43.752694;2019-10-08 01:32:43.752694
8;0.0;2019-10-08 01:32:43.768315;2019-10-08 01:32:43.768315
9;0.0;2019-10-08 01:32:43.783936;2019-10-08 01:32:43.783936
10;0.0;2019-10-08 01:32:43.799593;2019-10-08 01:32:43.799593
