n;maximo;minimo;media
10.0;0.0;0.0;0.0
25.0;0.0;0.0;0.0
50.0;0.0;0.0;0.0
75.0;0.0;0.0;0.0
100.0;0.0;0.0;0.0
250.0;15.62047004699707;0.0;3.1203746795654297
500.0;15.572071075439453;0.0;1.5572071075439453
750.0;15.607357025146484;0.0;1.5607357025146484
1000.0;15.584230422973633;0.0;3.0925512313842773
2500.0;31.24547004699707;15.572786331176758;20.302510261535645
5000.0;78.10783386230469;31.19182586669922;48.415398597717285
7500.0;124.91917610168457;46.85211181640625;67.15986728668213
10000.0;140.61212539672852;78.14455032348633;103.07996273040771
25000.0;421.776294708252;218.6532020568848;309.30233001708984
50000.0;734.2023849487305;499.8393058776856;552.9885292053223
75000.0;1624.6182918548584;859.1773509979248;1257.5212001800537
100000.0;2280.719518661499;1468.4076309204102;1751.6141653060913
250000.0;4228.117227554321;2962.502956390381;3445.467948913574
500000.0;9747.711181640623;6623.4471797943115;7980.755996704102
750000.0;13450.000286102295;10638.127088546751;11441.067147254944
1000000.0;17152.173042297363;14574.695348739624;15102.704215049744
2500000.0;46301.602840423584;36897.54319190978;38786.67435646057
5000000.0;94477.77938842773;76700.77109336853;79972.73819446564
7500000.0;125314.33868408205;113410.88604927064;116318.1357383728
