i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 01:32:43.549614;2019-10-08 01:32:43.549614
2;0.0;2019-10-08 01:32:43.565270;2019-10-08 01:32:43.565270
3;0.0;2019-10-08 01:32:43.565270;2019-10-08 01:32:43.565270
4;0.0;2019-10-08 01:32:43.580858;2019-10-08 01:32:43.580858
5;0.0;2019-10-08 01:32:43.580858;2019-10-08 01:32:43.580858
6;0.0;2019-10-08 01:32:43.580858;2019-10-08 01:32:43.580858
7;0.0;2019-10-08 01:32:43.596479;2019-10-08 01:32:43.596479
8;0.0;2019-10-08 01:32:43.596479;2019-10-08 01:32:43.596479
9;0.0;2019-10-08 01:32:43.596479;2019-10-08 01:32:43.596479
10;0.0;2019-10-08 01:32:43.596479;2019-10-08 01:32:43.596479
