i exec;duracao (ms);hora início;hora fim
1;13450.000286102295;2019-10-08 01:33:17.015370;2019-10-08 01:33:30.465370
2;12028.424978256226;2019-10-08 01:33:34.792436;2019-10-08 01:33:46.820861
3;12309.655904769897;2019-10-08 01:33:51.882167;2019-10-08 01:34:04.191823
4;11153.57780456543;2019-10-08 01:34:08.487688;2019-10-08 01:34:19.641266
5;10856.866598129272;2019-10-08 01:34:23.765302;2019-10-08 01:34:34.622168
6;11106.781482696533;2019-10-08 01:34:39.230438;2019-10-08 01:34:50.337220
7;11059.860467910767;2019-10-08 01:34:54.617457;2019-10-08 01:35:05.677317
8;10638.127088546753;2019-10-08 01:35:09.863869;2019-10-08 01:35:20.501996
9;10684.951782226562;2019-10-08 01:35:24.704131;2019-10-08 01:35:35.389083
10;11122.425079345703;2019-10-08 01:35:39.513115;2019-10-08 01:35:50.635540
